https://www.transport.act.gov.au/__data/assets/file/0006/1249692/AllStops.csv
#
#
#
Stop	Description	Latitude	Longitude	Street
2439	Kootara Cr after 2nd Gymea St	-35.33276863	149.1560521	KOOTARA CR
2444	Kootara Cr before McMillan Cr	-35.32625909	149.1491659	KOOTARA CR
2448	Novar St before Kintore Cr	-35.31203148	149.0982926	NOVAR ST
2449	Novar St after Weston St	-35.31015102	149.0982891	NOVAR ST
2450	Novar St opp Yarralumla Shops	-35.30738575	149.0983112	NOVAR ST
2451	Schlich St before Novar St	-35.3038266	149.0987295	SCHLICH ST
2452	Schlich St after Novar St	-35.30377178	149.0990833	SCHLICH ST
2453	Tyagarah St after Culgoa Cct	-35.34991881	149.1061485	TYAGARAH ST
2454	Julia Flynn Av before 1st Ellwood Cr	-35.36422192	149.1103257	JULIA FLYNN AV
2457	Julia Flynn Av before Crook Pl	-35.36557994	149.1125731	JULIA FLYNN AV
2458	Julia Flynn Av before 2nd Ringrose Cr	-35.36576472	149.1125229	JULIA FLYNN AV
2459	Julia Flynn Av opp Isaacs Shops	-35.3672199	149.1128217	JULIA FLYNN AV
2460	Isaacs Shops Julia Flynn Av	-35.36729556	149.1126189	JULIA FLYNN AV
2461	Julia Flynn Av after Dorsch St	-35.37003097	149.1114675	JULIA FLYNN AV
2462	Julia Flynn Av opp Dorsch St	-35.37023644	149.1117293	JULIA FLYNN AV
2463	Julia Flynn Av after 2nd Rule St	-35.37171978	149.1134585	JULIA FLYNN AV
2464	Julia Flynn Av before 2nd Walton St	-35.37190212	149.1138573	JULIA FLYNN AV
2465	Julia Flynn Av after Huffer Cl	-35.37326244	149.1160203	JULIA FLYNN AV
2466	Julia Flynn Av opp Rooney Pl	-35.37333774	149.1158902	JULIA FLYNN AV
2467	Julia Flynn Av after 2nd Rowntree Cr	-35.37562517	149.1146852	JULIA FLYNN AV
2468	Julia Flynn Av after Alexander Mackie Cct	-35.37562904	149.1145158	JULIA FLYNN AV
2469	Dookie St after Hawkesbury Cr	-35.37674308	149.1092165	DOOKIE ST
2470	Dookie St after Longerenong St	-35.37672871	149.1091104	DOOKIE ST
2471	Farrer PS Lambrigg St	-35.37899246	149.1071407	LAMBRIGG ST
2472	Lambrigg St opp Farrer PS	-35.37915111	149.107245	LAMBRIGG ST
2473	Lambrigg St opp Prescott St	-35.37786365	149.1039435	LAMBRIGG ST
2474	Lambrigg St after Prescott St	-35.3779606	149.10376	LAMBRIGG ST
2475	Marshall St opp Farrer Shops	-35.3749828	149.1010268	MARSHALL ST
2476	Farrer Shops Marshall St	-35.37514737	149.1011532	MARSHALL ST
2477	Marshall St opp Goodwin Village Farrer	-35.37363309	149.1017105	MARSHALL ST
2478	Goodwin Village Farrer Marshall St	-35.37281791	149.1018281	MARSHALL ST
2479	Mawson Dr after Hurley St	-35.3631942	149.0964523	MAWSON DR
2480	Ainsworth St after Mawson Dr	-35.36167345	149.0986294	AINSWORTH ST
2481	Ainsworth St before Power St	-35.35342007	149.09558	AINSWORTH ST
2482	Ainsworth St before Butters Dr	-35.35395504	149.0969088	AINSWORTH ST
2483	Ainsworth St opp Woden CIT	-35.34785083	149.0948948	AINSWORTH ST
2484	CIT Woden Ainsworth St	-35.34793505	149.095029	AINSWORTH ST
2485	Ainsworth St after Kitchener St	-35.34601445	149.0967684	AINSWORTH ST
2486	Ainsworth St before Kitchener St	-35.34569335	149.0966743	AINSWORTH ST
2487	Kitchener St after Ainsworth St	-35.34443493	149.0973977	KITCHENER ST
2488	Kitchener St before Ainsworth St	-35.34460354	149.0972403	KITCHENER ST
2492	Bangalay Cr before 1st Mirbelia Cr	-35.34934216	149.0387571	BANGALAY CR
2493	Bangalay Cr opp 2nd Mirbelia Cr	-35.34929274	149.0398155	BANGALAY CR
2494	Kalgoorlie Cr after Mareeba St	-35.35779454	149.0534527	KALGOORLIE CR
2495	Kalgoorlie Cr before 2nd Bendigo St	-35.35775509	149.0533339	KALGOORLIE CR
2496	Mt Stromlo HS Badimara St	-35.35570159	149.0544406	BADIMARA ST
2497	Badimara St opp Mt Stromlo HS	-35.35570571	149.0542515	BADIMARA ST
2499	Devonport St opp Lyons Shops	-35.33882571	149.0758464	DEVONPORT ST
2500	Devonport St after 1st Scottsdale St	-35.33648752	149.0746743	DEVONPORT ST
2501	41 Devonport St	-35.33645962	149.0745141	DEVONPORT ST
2502	Devonport St opp 1st Derwent St	-35.33427564	149.0720248	DEVONPORT ST
2503	Devonport St after 2nd Derwent St	-35.3344344	149.0720189	DEVONPORT ST
2504	Heysen St before Devonport St	-35.33303865	149.0692968	HEYSEN ST
2505	Heysen St after Devonport St	-35.33324197	149.0692162	HEYSEN ST
2506	Mulley St after Dixon Dr	-35.3307077	149.0484833	MULLEY ST
2507	Warragamba Av before Jindabyne St	-35.33056647	149.0349125	WARRAGAMBA AV
2508	Warragamba Av opp Jindabyne St	-35.33046777	149.0348308	WARRAGAMBA AV
2509	Burrinjuck Cr after 2nd Tantangara St	-35.33954209	149.0363423	BURRINJUCK CR
